4,Školství,fas fa-graduation-cap,5
5,Restaurace a stravování,fas fa-utensils,2
13,Kultura,fas fa-theater-masks,6
14,Sport,fas fa-basketball-ball,7
15,Lockdown,fas fa-house-user,0
10,Sociální služby,fas fa-bed,12
11,Ostatní vnitřní prostory,fas fa-building,4
12,Testování a karanténa,fas fa-info-circle,13
1,Zdravotnictví,fas fa-user-md,11
2,Doprava,fas fa-bus-alt,8
3,Hromadné akce / Omezení,fas fa-users,1
6,Přeshraniční pracovníci,fas fa-suitcase,10
7,Práce,fas fa-briefcase,9
8,Obchody,fas fa-shopping-basket,3
